league,team
D1,Augsburg
D1,Bayern Munich
D1,Bielefeld
D1,Bochum
D1,Darmstadt
D1,Dortmund
D1,Ein Frankfurt
D1,FC Koln
D1,Fortuna Dusseldorf
D1,Freiburg
D1,Greuther Furth
D1,Hamburg
D1,Hannover
D1,Heidenheim
D1,Hertha
D1,Hoffenheim
D1,Holstein Kiel
D1,Ingolstadt
D1,Leverkusen
D1,M'gladbach
D1,Mainz
D1,Nurnberg
D1,Paderborn
D1,RB Leipzig
D1,Schalke 04
D1,St Pauli
D1,Stuttgart
D1,Union Berlin
D1,Werder Bremen
D1,Wolfsburg
E0,Arsenal
E0,Aston Villa
E0,Bournemouth
E0,Brentford
E0,Brighton
E0,Burnley
E0,Cardiff
E0,Chelsea
E0,Crystal Palace
E0,Everton
E0,Fulham
E0,Huddersfield
E0,Hull
E0,Ipswich
E0,Leeds
E0,Leicester
E0,Liverpool
E0,Luton
E0,Man City
E0,Man United
E0,Middlesbrough
E0,Newcastle
E0,Norwich
E0,Nott'm Forest
E0,Sheffield United
E0,Southampton
E0,Stoke
E0,Sunderland
E0,Swansea
E0,Tottenham
E0,Watford
E0,West Brom
E0,West Ham
E0,Wolves
F1,Ajaccio
F1,Ajaccio GFCO
F1,Amiens
F1,Angers
F1,Auxerre
F1,Bastia
F1,Bordeaux
F1,Brest
F1,Caen
F1,Clermont
F1,Dijon
F1,Guingamp
F1,Le Havre
F1,Lens
F1,Lille
F1,Lorient
F1,Lyon
F1,Marseille
F1,Metz
F1,Monaco
F1,Montpellier
F1,Nancy
F1,Nantes
F1,Nice
F1,Nimes
F1,Paris FC
F1,Paris SG
F1,Reims
F1,Rennes
F1,St Etienne
F1,Strasbourg
F1,Toulouse
F1,Troyes
I1,Atalanta
I1,Benevento
I1,Bologna
I1,Brescia
I1,Cagliari
I1,Carpi
I1,Chievo
I1,Como
I1,Cremonese
I1,Crotone
I1,Empoli
I1,Fiorentina
I1,Frosinone
I1,Genoa
I1,Inter
I1,Juventus
I1,Lazio
I1,Lecce
I1,Milan
I1,Monza
I1,Napoli
I1,Palermo
I1,Parma
I1,Pescara
I1,Pisa
I1,Roma
I1,Salernitana
I1,Sampdoria
I1,Sassuolo
I1,Spal
I1,Spezia
I1,Torino
I1,Udinese
I1,Venezia
I1,Verona
SP1,Alaves
SP1,Almeria
SP1,Ath Bilbao
SP1,Ath Madrid
SP1,Barcelona
SP1,Betis
SP1,Cadiz
SP1,Celta
SP1,Eibar
SP1,Elche
SP1,Espanol
SP1,Getafe
SP1,Girona
SP1,Granada
SP1,Huesca
SP1,La Coruna
SP1,Las Palmas
SP1,Leganes
SP1,Levante
SP1,Malaga
SP1,Mallorca
SP1,Osasuna
SP1,Oviedo
SP1,Real Madrid
SP1,Sevilla
SP1,Sociedad
SP1,Sp Gijon
SP1,Valencia
SP1,Valladolid
SP1,Vallecano
SP1,Villarreal
